0.3333333333333333	false	259479	1001
1.0	false	1305929	5001
0.25	false	260812	1001
1.0	false	1290147	5001
1.0	false	253963	1001
0.3333333333333333	false	1254160	5001
Infinity	true	829	3
1.0	false	1319140	5001
Infinity	true	4150	16
Infinity	true	2560	10
0.14285714285714285	false	258166	1001
0.06666666666666667	false	1289081	5001
Infinity	true	1472	5
Infinity	true	1980	8
Infinity	true	2115	8
Infinity	true	47335	183
0.5	false	257750	1001
1.0	false	1304715	5001
0.2	false	253889	1001
1.0	false	1251479	5001
