Infinity	true	853	3
Infinity	true	3658	15
0.1111111111111111	false	269735	1001
0.1111111111111111	false	1352548	5001
0.125	false	272195	1001
0.25	false	1313131	5001
1.0	false	263449	1001
1.0	false	1288560	5001
0.16666666666666666	false	257623	1001
0.05263157894736842	false	1272981	5001
0.16666666666666666	false	263077	1001
Infinity	true	3278	12
0.16666666666666666	false	272226	1001
0.25	false	1347397	5001
0.5	false	263556	1001
Infinity	true	1160	4
Infinity	true	2100	8
Infinity	true	1503	5
Infinity	true	10697	39
0.14285714285714285	false	1356748	5001
